type_id,manufacturer,model,series
A388,Airbus SAS,Airbus A380,A388
B74R,The Boeing Company,Boeing 747SR,B74R
B747,The Boeing Company,Boeing 747 family,B741
B744,The Boeing Company,"Boeing 747-400 (international, winglets)",B744
B74D,The Boeing Company,"Boeing 747-400 (domestic, no winglets)",B74D
B743,The Boeing Company,Boeing 747-300,B743
B748,The Boeing Company,Boeing 747-8,B748
B741,The Boeing Company,Boeing 747-100,B741
B742,The Boeing Company,Boeing 747-200,B742
B777,The Boeing Company,Boeing 777 family,B772
B773,The Boeing Company,Boeing 777-300,B773
B77W,The Boeing Company,Boeing 777-300ER,B77W
B779,The Boeing Company,Boeing 777-9,B779
B789,The Boeing Company,Boeing 787-9 Dreamliner,B789
B78X,The Boeing Company,Boeing 787-10 Dreamliner,B78X
A346,Airbus SAS,Airbus A340-600,A346
_MD11_1,The Boeing Company,Boeing MD-11,MD11
MD11,McDonnell Douglas,McDonnell Douglas MD-11,MD11
B772,The Boeing Company,Boeing 777-200,B772
B77L,The Boeing Company,Boeing 777-200LR,B77L
A35K,Airbus SAS,Airbus A350-1000 XWB,A35K
B788,The Boeing Company,Boeing 787-8 Dreamliner,B788
DC10,McDonnell Douglas,McDonnell Douglas DC-10,DC10
B764,The Boeing Company,Boeing 767-400,B764
B778,The Boeing Company,Boeing 777-8,B778
A345,Airbus SAS,Airbus A340-500,A345
B763,The Boeing Company,Boeing 767-300,B763
IL86,Ilyushin Aviation Complex,Ilyushin IL-86,IL86
A339,Airbus SAS,Airbus A330-900neo,A339
A333,Airbus SAS,Airbus A330-300,A333
A343,Airbus SAS,Airbus A340-300,A343
B74S,The Boeing Company,Boeing 747SP,B74S
A358,Airbus SAS,Airbus A350-800 XWB,A358
A359,Airbus SAS,Airbus A350-900 XWB,A359
IL96,Ilyushin Aviation Complex,Ilyushin IL-96,IL96
A342,Airbus SAS,Airbus A340-200,A342
AN70,Antonov,Antonov An-70,AN70
A338,Airbus SAS,Airbus A330-800neo,A338
A332,Airbus SAS,Airbus A330-200,A332
B753,The Boeing Company,Boeing 757-300,B753
A306,Airbus SAS,Airbus A300-600,A306
A30B,Airbus SAS,Airbus A300,A30B
DC8,Douglas Aircraft Company,Douglas DC-8 family,DC85
DC85,McDonnell Douglas,McDonnell Douglas DC-8-50,DC85
B762,The Boeing Company,Boeing 767-200,B762
A310,Airbus SAS,Airbus A310,A310
A21N,Airbus SAS,Airbus A321neo,A21N
B752,The Boeing Company,Boeing 757-200,B752
L101,Lockheed Corporation,Lockheed L-1011 TriStar,L101
B3JM,The Boeing Company,Boeing 737 Max 10,B3JM
B39M,The Boeing Company,Boeing 737 Max 9,B39M
B739,The Boeing Company,Boeing 737-900,B739
T214,Tupolev,Tupolev Tu-214,T204
B38M,The Boeing Company,Boeing 737 Max 8,B38M
T204,Tupolev,Tupolev Tu-204,T204
B701,The Boeing Company,Boeing 707 family,B701
B703,The Boeing Company,Boeing 707-300,B703
A321,Airbus SAS,Airbus A321,A321
A20N,Airbus SAS,Airbus A320neo,A20N
B727,The Boeing Company,Boeing 727 family,B721
B722,The Boeing Company,Boeing 727-200,B722
B738,The Boeing Company,Boeing 737-800,B738
IL62,Ilyushin Aviation Complex,Ilyushin IL-62,IL62
T154,Tupolev,Tupolev Tu-154,T154
_MD81_1,The Boeing Company,Boeing MD-81,MD81
_MD82_1,The Boeing Company,Boeing MD-82,MD82
_MD82_2,Shanghai Aircraft Manufacturing Factory,Shanghai MD-82,MD82
_MD83_1,The Boeing Company,Boeing MD-83,MD83
_MD83_2,Shanghai Aircraft Manufacturing Factory,Shanghai MD-83,MD83
_MD88_1,The Boeing Company,Boeing MD-88,MD88
_MD90_1,The Boeing Company,Boeing MD-90,MD90
_MD90_2,Shanghai Aircraft Manufacturing Factory,Shanghai MD-90,MD90
B37M,The Boeing Company,Boeing 737 Max 7,B37M
